Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,1
2,1,1,0,0,0,0,0,0,2,2
3,1,1,0,0,0,0,0,0,3,3
4,2,2,0,0,0,0,0,0,4,4
5,2,3,0,0,0,0,0,0,5,5
6,3,4,0,0,0,0,0,0,6,6
7,4,4,0,0,0,0,0,0,7,7
8,5,4,0,0,0,0,0,0,8,8
9,5,5,0,0,0,0,0,0,10,10
10,6,5,0,0,0,0,0,0,11,11
11,6,6,0,0,0,0,0,0,12,12
12,7,6,0,0,0,0,0,0,13,13
13,8,7,0,0,0,0,0,0,14,14
14,9,7,0,0,0,1,0,0,15,15
15,10,7,0,0,0,1,0,0,16,17
16,10,8,0,0,0,1,0,0,17,19
17,10,8,0,0,0,1,0,0,18,21
18,10,9,0,0,0,1,0,0,19,23
19,11,9,0,0,0,1,0,0,20,26
20,12,9,0,0,0,1,0,0,22,28
21,12,10,0,0,0,1,0,0,23,30
22,13,11,0,0,0,1,0,0,24,32
23,13,11,0,0,0,1,0,0,25,33
24,14,12,0,0,0,1,0,0,26,34
25,14,12,0,0,0,1,0,0,27,35
26,15,13,0,0,0,1,0,0,28,36
27,15,13,0,0,0,1,0,0,29,37
28,15,14,0,0,0,1,0,0,30,38
29,16,14,0,0,0,1,0,0,31,39
30,16,14,0,0,0,1,0,0,32,40
31,17,15,0,0,0,1,0,0,33,41
32,17,16,0,0,0,1,0,0,35,42
33,17,17,0,0,1,1,0,0,37,43
34,17,18,0,0,1,1,0,0,40,44
35,18,18,0,0,1,1,0,0,43,45
36,19,19,0,0,1,1,0,0,46,46
37,19,20,0,0,1,1,0,0,48,47
38,20,20,0,0,1,1,0,0,50,48
39,21,20,0,0,1,1,0,0,51,49
40,22,21,0,0,1,1,0,0,52,50
41,22,22,0,0,1,1,0,0,53,51
42,22,23,0,0,1,1,0,0,54,52
43,22,23,0,0,1,1,0,0,55,53
44,22,24,0,0,1,1,0,0,56,54
45,22,24,0,0,1,1,0,0,57,55
46,23,25,0,0,1,1,0,0,58,56
47,23,26,0,0,1,1,0,0,59,57
48,24,27,0,0,1,1,0,0,60,58
49,25,27,0,0,1,1,0,0,61,60
50,26,28,0,0,1,1,0,0,62,62
51,27,28,0,0,1,1,0,0,65,65
52,28,29,0,0,1,1,0,0,68,68
53,29,30,0,0,1,1,0,0,71,71
54,30,31,0,0,1,1,0,0,72,74
55,31,32,0,0,1,1,0,0,73,75
56,32,33,0,0,1,1,0,0,74,76
57,33,34,0,0,1,1,0,0,75,77
58,34,35,0,0,1,1,0,0,78,78
59,34,36,0,0,1,1,0,0,81,81
60,34,36,0,0,1,1,0,0,84,84
61,34,36,0,0,1,1,0,0,87,87
62,34,36,0,0,1,1,0,0,90,90
63,34,36,0,0,1,1,0,0,93,93
64,34,36,0,0,1,1,0,0,96,96
65,34,36,0,0,1,1,0,0,99,99
66,34,36,0,0,1,1,0,0,102,102
67,34,36,0,0,1,1,0,0,105,105
68,34,36,0,0,1,1,0,0,108,108
69,34,36,0,0,1,1,0,0,111,111
70,34,36,0,0,1,1,0,0,114,114
71,34,36,0,0,1,1,0,0,117,117
72,34,36,0,0,1,1,0,0,120,120
73,34,36,0,0,1,1,0,0,123,123
74,34,36,0,0,1,1,0,0,126,126
75,34,36,0,0,1,1,0,0,129,129
76,34,36,0,0,1,1,0,0,132,132
77,34,36,0,0,1,1,0,0,135,135
78,34,36,0,0,1,1,0,0,138,138
79,34,36,0,0,1,1,0,0,141,141
80,34,36,0,0,1,1,0,0,144,144
81,35,36,0,0,1,1,0,0,147,147
82,35,37,0,0,1,1,0,0,150,150
83,36,37,0,0,1,1,0,0,153,153
84,36,37,0,0,1,1,0,0,156,156
85,37,37,0,0,1,1,0,0,159,159
