Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,0
6,2,1,1,0,0,0,0,0,0,0
7,2,1,1,0,0,0,0,0,0,0
8,2,1,1,0,0,0,0,0,0,0
9,2,1,1,0,0,0,0,0,0,0
10,3,1,1,0,0,0,0,0,0,0
11,4,2,1,0,0,0,0,0,0,0
12,4,2,1,0,0,0,0,0,0,0
13,4,3,1,0,0,0,0,0,0,0
14,4,3,1,0,0,0,0,0,0,0
15,4,3,1,0,0,0,0,0,0,0
16,4,3,1,0,0,0,0,0,0,0
17,4,3,1,0,0,0,0,0,0,0
18,4,3,1,0,0,0,0,0,0,0
19,4,3,1,0,0,0,0,0,0,0
20,4,3,1,0,0,0,0,0,0,0
21,5,4,1,0,0,0,0,0,0,0
22,5,4,1,0,0,0,0,0,1,1
23,5,4,1,0,0,0,0,0,1,1
24,5,4,1,0,0,0,0,0,1,1
25,5,4,1,0,0,0,0,0,1,1
26,5,4,1,0,0,0,0,0,1,1
27,5,4,1,0,0,0,0,0,1,1
28,5,4,1,0,0,0,0,0,1,1
29,5,4,1,0,0,0,0,0,1,1
30,5,4,1,0,0,0,0,0,1,1
31,5,5,1,0,0,0,0,0,1,1
32,5,5,1,0,0,0,0,0,1,1
33,5,5,1,0,0,0,0,0,1,1
34,5,5,1,0,0,0,0,0,1,1
35,5,5,1,0,0,0,0,0,1,1
36,5,5,1,0,0,0,0,0,1,1
37,5,5,1,0,0,0,0,0,1,1
38,5,5,1,0,0,0,0,0,1,1
39,5,5,1,0,0,0,0,0,1,1
40,5,5,1,0,0,0,0,0,1,1
41,5,5,1,0,0,0,0,0,1,1
42,5,5,1,0,0,0,0,0,1,1
43,5,5,1,0,0,0,0,0,1,1
44,5,5,1,0,0,0,0,0,1,1
45,5,5,1,0,0,0,0,0,1,1
46,5,5,1,0,0,0,0,0,1,1
47,5,5,1,0,0,0,0,0,1,1
